Permission,CSAgents
- Access : Find Sticky Config,
- Access : View Game List,
- Access : Patch Sticky Config,
- Access : Get Details Game List,
- Access : Edit Multi Game List Is Active,
- Access : Edit Game List,
- Access : Upload Game Images,
- Access : Create Sign Url Sticky Config,
- Access : Upload Game Images,
- Access : Upload Sticky Config,
- Access : View Member Config,
- Access : Update Member Config,
- Access : Find Notification Modal,
- Access : Create Notification Modal Add,
- Access : Update Reset Member Lv Config,
- Access : Remove Notification Modal,
- Access : Find Notification Modal Search,
- Access : Patch Notification Modal,
- Access : Create Notification Modal,
- Access : Create Cms Footer Manage,
- Access : Find Cms Footer Manage,
- Access : Patch Cms Footer Manage,
- Access : Remove Cms Footer Manage,
- Access : Get Cms Footer Manage,
- Access : Create Custom Function,
- Access : Find Custom Function,
- Access : Find Freestyle Manage,
- Access : Patch Freestyle Manage,
- Access : Create Bank Status Manage,
- Access : Find Freestyle Manage Search,
- Access : Find Bank Status Manage,
- Access : Create Freestyle Manage,
- Access : Remove Freestyle Manage,
- Access : Create Freestyle Manage Active,
- Access : Find Cms Bank Status Config,
- Access : Patch Cms Bank Status Config,
- Access : Create Otp Config,
- Access : Find Otp Config,
- Access : Find Pool Config,
- Access : Edit Pool Config,
- Access : Find Register Config,
- Access : Patch Register Config,
- Access : Create Member Lv Articles,
- Access : Find Member Lv Articles,
- Access : Patch Member Lv Articles,
- Access : Remove Member Lv Articles,
- Access : Find Member Lv Detail,
- Access : Get Member Lv Detail,
- Access : Patch Member Lv Detail,
- Access : Create Member Lv Detail,
- Access : Create Sign Url Member Lv Articles,
- Access : Upload Member Lv Articles,
- Access : Find Cms Slip Backup Deposit,
- Access : Patch Cms Slip Backup Deposit,
- Access : Remove Ip Whitelist Config,
- Access : Create Ip Whitelist Config,
- Access : Find Ip Whitelist Config,
- Access : Patch System Remark Config,TRUE
- Access : Find System Remark Config,TRUE
- Access : Get System Remark Config,TRUE
- Access : Delete System Remark Config,TRUE
- Access : Create System Remark Config,TRUE
- Access : Find Config Function,
- Access : Patch Config Function,
- Access : Find Policy Management,
- Access : Get Policy Management,
- Access : Create Policy Management,
- Access : Patch Policy Management,
